🕘️更新时间,#genre#
CCTV-14,http://112.101.78.50:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://42.225.117.174:11199/tsfile/live/0014_1.m3u8?key=txiptv&amp;amp;playlive=1&amp;amp;authid=0$订阅源
CCTV-14,http://58.19.38.162:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8#rtsp://103.251.96.71/PLTV/88888888/224/3221225783/10000100000000060000000000726027_0.smil?icpid=SSPID&amp;accounttype=1&amp;limitflux=-1&amp;limitdur=-1&amp;accountinfo=:20240213104135$订阅源
CCTV-14,http://php.jdshipin.com/itv6.php?cid=ystenlive&id=1000000001000008170$订阅源
CCTV-14,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8$订阅源
CCTV-14,http://tv.scjyhd.com:4022/udp/239.11.0.114:5140$订阅源
CCTV-14,http://yc.myds.me:35455/itv/1000000001000008170.m3u8?cdn=ystenlive$订阅源
CCTV-15,http://tvbox6.icu/tv/migu.php?id=cctv15$订阅源
CCTV-15,http://119.32.12.17:2901/udp/224.1.100.42:11111$订阅源
CCTV-15,http://8.138.7.223/tv/dl/douyincdn.php?id=15$订阅源
CCTV-15,https://piccpndali.v.myalicdn.com/audio/cctv15_2.m3u8$订阅源
CCTV-15,http://222.169.85.8:9901/tsfile/live/0015_1.m3u8?key=txiptv$订阅源
CCTV-15,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225641/index.m3u8$订阅源
CCTV-15,http://tv.scjyhd.com:4022/udp/239.93.0.103:5140$订阅源
CCTV-15,http://yc.myds.me:35455/itv/1000000005000265014.m3u8?cdn=ystenlive$订阅源
CCTV-15,http://nas.suntao.online:35455/itv/1000000005000265014.m3u8?cdn=ystenlive$订阅源
CCTV-15,https://www.freetv.top/migu/673168223.m3u8?migutoken=4e8d5766579c6bef231494cabd07e5b49d965804790214280c9791e4c331fd90311cb62ea43d3a1899229bfa57be4afe5a567b32a6b78153fc9a9801e28a39435e078b48c211e71d6083519be4$订阅源
CCTV-16,http://cntv.dfkj.live/bestv.php?id=cctv16hd8m/8000000$订阅源
CCTV-16,http://42.225.117.174:11199/tsfile/live/0015_2.m3u8?key=txiptv&amp;amp;playlive=1&amp;amp;authid=0$订阅源
CCTV-16,http://8.138.7.223/tv/mgitv.php?id=78$订阅源
CCTV-16,https://piccpndali.v.myalicdn.com/audio/cctv16_2.m3u8$订阅源
CCTV-16,http://111.43.126.240:9003/hls/29/index.m3u8$订阅源
CCTV-16,http://php.jdshipin.com/itv6.php?cid=ystenlive&id=1000000006000233001$订阅源
CCTV-16,http://livetv.wqwqwq.sbs/gaoma/cctv4k16.m3u8$订阅源
CCTV-16,http://tv.scjyhd.com:4022/udp/239.93.42.53:5140$订阅源
CCTV-16,http://yc.myds.me:35455/itv/1000000006000233002.m3u8?cdn=ystenlive$订阅源
CCTV-16,https://yunmei.tv/main/cctv-16.m3u8$订阅源
CCTV-17,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?v=180.171.5.8.9.6.3.9&ChannelID=cctv17&videoTVChannel=cctv17&P2PChannelID=pd://cctv_p2p_cctv17&tai=cctv1&VideoName=cctv1&channelID=cctv17$订阅源
CCTV-17,http://tvbox6.icu/tv/migu.php?id=cctv17$订阅源
CCTV-17,http://cntv.dfkj.live/bestv.php?id=cctv17hd8m/8000000$订阅源
CCTV-17,http://8.138.7.223/tv/dl/douyincdn.php?id=16$订阅源
CCTV-17,https://piccpndali.v.myalicdn.com/audio/cctv17_2.m3u8$订阅源
CCTV-17,http://php.jdshipin.com/itv6.php?cid=ystenlive&id=1000000005000056836$订阅源
CCTV-17,http://tv.scjyhd.com:4022/udp/239.11.0.107:5140$订阅源
CCTV-17,http://yc.myds.me:35455/itv/1000000006000268004.m3u8?cdn=ystenlive$订阅源
CCTV-17,http://nas.suntao.online:35455/itv/1000000006000268004.m3u8?cdn=ystenlive$订阅源
CCTV-17,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3$订阅源
CETV1,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=cetv1&videoTVChannel=cetv1&P2PChannelID=pd://cctv_p2p_hdcetv1&tai=cetv1&VideoName=cetv1&channelID=cetv1$订阅源
CETV1,https://piccpndali.v.myalicdn.com/audio/cetv1_2.m3u8$订阅源
CETV1,http://120.198.95.220:9901/tsfile/live/1039_1.m3u8?key=txiptv$订阅源
CETV1,rtsp://115.153.254.81/PLTV/88888888/224/3221226858/63768493.smil$订阅源
CETV1,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226858/63768493.smil$订阅源
CETV1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226494/1.m3u8$订阅源
CETV1,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226673/1.m3u8$订阅源
CETV2,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=cetv2&videoTVChannel=cetv2&P2PChannelID=pd://cctv_p2p_hdcetv2&tai=cetv2&VideoName=cetv2&channelID=cetv2$订阅源
CETV2,https://piccpndali.v.myalicdn.com/audio/cetv2_2.m3u8$订阅源
CETV2,rtsp://115.153.254.81/PLTV/88888888/224/3221226978/85722625.smil$订阅源
CETV2,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226978/85722625.smil$订阅源
CETV2,rtsp://115.153.212.72/PLTV/88888888/224/3221226978/85722625.smil$订阅源
CETV2,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226718/1.m3u8$订阅源
CETV4,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=cetv4&videoTVChannel=cetv4&P2PChannelID=pd://cctv_p2p_hdcetv4&tai=cetv4&VideoName=cetv4&channelID=cetv4$订阅源
CETV4,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001$订阅源
CETV4,https://piccpndali.v.myalicdn.com/audio/cetv4_2.m3u8$订阅源
CETV4,http://183.11.239.36:808/hls/73/index.m3u8$订阅源
CETV4,rtsp://116.176.26.18/PLTV/88888910/224/3221225594/10000100000000060000000000270887_0.smil$订阅源
CETV4,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226724/1.m3u8$订阅源

💰央视付费频道,#genre#
文化精品,http://124.116.183.146/rtp/239.111.205.75:5140$陕西电信组播源-cache:124.116.183.146-组播源
文化精品,http://180.213.174.225/rtp/239.5.1.126:5000$天津电信组播源-cache:180.213.174.225-组播源
央视台球,http://183.11.239.36:808/hls/73/index.m3u8$订阅源
央视台球,http://113.101.119.50:8090/hls/531/index.m3u8$订阅源
央视台球,http://dassby.qqff.top:99/live/高尔夫网球/index.m3u8$订阅源
央视台球,rtsp://115.153.245.70/PLTV/88888888/224/3221226955/86106661.smil$订阅源
央视台球,rtsp://115.153.247.80/PLTV/88888888/224/3221226955/86106661.smil$订阅源
央视台球,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8$订阅源
风云音乐,http://124.116.183.146/rtp/239.111.205.69:5140$陕西电信组播源-cache:124.116.183.146-组播源
风云音乐,http://180.213.174.225:9901/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
风云音乐,rtsp://115.153.245.70/PLTV/88888888/224/3221226994/86128897.smil$订阅源
风云音乐,rtsp://115.153.247.80/PLTV/88888888/224/3221226994/86128897.smil$订阅源
风云音乐,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226994/86128897.smil$订阅源
风云音乐,https://radio.0472.org/?id=641$订阅源
第一剧场,http://58.19.38.162/rtp/228.0.0.235:6108$湖北联通组播源-cache:58.19.38.162-组播源
第一剧场,http://113.57.93.165/rtp/228.0.0.235:6108$湖北联通组播源-cache:113.57.93.165-组播源
第一剧场,http://124.116.183.146/rtp/239.111.205.65:5140$陕西电信组播源-cache:124.116.183.146-组播源
第一剧场,http://113.57.111.4/rtp/228.0.0.235:6108$湖北联通组播源-cache:113.57.111.4-组播源
第一剧场,http://dassby.qqff.top:99/live/第一剧场/index.m3u8$订阅源
风云剧场,http://124.116.183.146/rtp/239.111.205.66:5140$陕西电信组播源-cache:124.116.183.146-组播源
风云剧场,http://180.213.174.225:9901/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
风云剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226963/86128874.smil$订阅源
风云剧场,rtsp://115.153.247.80/PLTV/88888888/224/3221226963/86128874.smil$订阅源
风云剧场,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226963/86128874.smil$订阅源
怀旧剧场,http://58.19.38.162/rtp/228.0.0.237:6108$湖北联通组播源-cache:58.19.38.162-组播源
怀旧剧场,http://113.57.93.165/rtp/228.0.0.237:6108$湖北联通组播源-cache:113.57.93.165-组播源
怀旧剧场,http://124.116.183.146/rtp/239.111.205.67:5140$陕西电信组播源-cache:124.116.183.146-组播源
怀旧剧场,http://113.57.111.4/rtp/228.0.0.237:6108$湖北联通组播源-cache:113.57.111.4-组播源
怀旧剧场,http://180.213.174.225/rtp/239.5.1.122:5000$天津电信组播源-cache:180.213.174.225-组播源
女性时尚,http://124.116.183.146/rtp/239.111.205.72:5140$陕西电信组播源-cache:124.116.183.146-组播源
女性时尚,http://180.213.174.225/rtp/239.5.1.127:5000$天津电信组播源-cache:180.213.174.225-组播源
高尔夫网球,http://124.116.183.146/rtp/239.111.205.73:5140$陕西电信组播源-cache:124.116.183.146-组播源
高尔夫网球,http://180.213.174.225:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
高尔夫网球,rtsp://115.153.245.70/PLTV/88888888/224/3221226967/86128985.smil$订阅源
高尔夫网球,rtsp://115.153.247.80/PLTV/88888888/224/3221226967/86128985.smil$订阅源
高尔夫网球,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226967/86128985.smil$订阅源
风云足球,http://58.19.38.162/rtp/228.0.0.236:6108$湖北联通组播源-cache:58.19.38.162-组播源
风云足球,http://113.57.93.165/rtp/228.0.0.236:6108$湖北联通组播源-cache:113.57.93.165-组播源
风云足球,http://124.116.183.146/rtp/239.111.205.68:5140$陕西电信组播源-cache:124.116.183.146-组播源
风云足球,http://183.11.239.36:808/hls/133/index.m3u8$订阅源
风云足球,http://113.101.119.50:8090/hls/530/index.m3u8$订阅源
风云足球,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8$订阅源
电视指南,http://180.213.174.225:9901/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
电视指南,rtsp://115.153.245.70/PLTV/88888888/224/3221226969/86129034.smil$订阅源
电视指南,rtsp://115.153.247.80/PLTV/88888888/224/3221226969/86129034.smil$订阅源
电视指南,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226969/86129034.smil$订阅源
世界地理,http://124.116.183.146/rtp/239.111.205.71:5140$陕西电信组播源-cache:124.116.183.146-组播源
世界地理,http://183.11.239.36:808/hls/11/index.m3u8$订阅源
世界地理,http://113.101.119.50:8090/hls/532/index.m3u8$订阅源
世界地理,http://dassby.qqff.top:99/live/世界地理/index.m3u8$订阅源
世界地理,http://180.213.174.225:9901/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
世界地理,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8$订阅源
兵器科技,http://124.116.183.146/rtp/239.111.205.74:5140$陕西电信组播源-cache:124.116.183.146-组播源
兵器科技,http://180.213.174.225:9901/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
兵器科技,rtsp://115.153.245.70/PLTV/88888888/224/3221227004/86132185.smil$订阅源
兵器科技,rtsp://115.153.247.80/PLTV/88888888/224/3221227004/86132185.smil$订阅源
兵器科技,rtsp://115.153.222.112:554/PLTV/88888888/224/3221227004/86132185.smil$订阅源

📡卫视频道,#genre#
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4$订阅源
广东卫视,http://satellitepull.cnr.cn/live/wxgdws/playlist.m3u8$订阅源
广东卫视,http://tvbox6.icu/tv/migu.php?id=gdws$订阅源
广东卫视,http://ms.fxim.net:808/hls/27/index.m3u8$订阅源
广东卫视,http://my.tmos.cn:15181/chs006.m3u8$订阅源
广东卫视,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000520$订阅源
广东卫视,http://z.b.bkpcp.top/m.php?id=gdws$订阅源
广东卫视,http://j.x.bkpcp.top/jx/GUANGDHD$订阅源
广东卫视,http://goo.bkpcp.top/mg/gdws$订阅源
广东卫视,http://iptv.huuc.edu.cn/hls/gdhd.m3u8$订阅源
